anvil_level,upgrade_minutes,cumulative_timer_days,upgrade_coins,forge_hammers,prehistoric_pct,ancient_pct,medieval_pct,gunpowder_pct,modern_pct,futuristic_pct,space_pct,interdimensional_pct,underworld_pct,divine_pct
1,0,0,0,1,100,0,0,0,0,0,0,0,0,0
2,5,0.003472,150,1,99.95,0.05,0,0,0,0,0,0,0,0
3,15,0.013889,300,1,99.9,0.1,0,0,0,0,0,0,0,0
4,40,0.041667,600,1,99.75,0.25,0,0,0,0,0,0,0,0
5,120,0.125,1000,1,99.5,0.5,0,0,0,0,0,0,0,0
6,240,0.291667,1500,1,98.95,1,0.05,0,0,0,0,0,0,0
7,360,0.541667,2200,1,96.9,3,0.1,0,0,0,0,0,0,0
8,600,0.958333,3200,1,94.75,5,0.25,0,0,0,0,0,0,0
9,840,1.541667,3800,1,89.5,10,0.5,0,0,0,0,0,0,0
10,1080,2.291667,4200,1,78.95,20,1,0.05,0,0,0,0,0,0
11,1440,3.291667,4900,1,61.9,35,3,0.1,0,0,0,0,0,0
12,1800,4.541667,5600,1,44.75,50,5,0.25,0,0,0,0,0,0
13,2160,6.041667,6200,1,24.5,65,10,0.5,0,0,0,0,0,0
14,2880,8.041667,6600,1,0,78.95,20,1,0.05,0,0,0,0,0
15,3240,10.291667,7000,1,0,61.9,35,3,0.1,0,0,0,0,0
16,3600,12.791667,7700,1,0,44.75,50,5,0.25,0,0,0,0,0
17,4320,15.791667,9000,1,0,24.5,65,10,0.5,0,0,0,0,0
18,4320,18.791667,10000,1,0,0,78.95,20,1,0.05,0,0,0,0
19,4800,22.125,12000,1,0,0,61.9,35,3,0.1,0,0,0,0
20,5280,25.791667,13000,1,0,0,44.75,50,5,0.25,0,0,0,0
21,5760,29.791667,15000,1,0,0,24.5,65,10,0.5,0,0,0,0
22,5760,33.791667,20000,1,0,0,0,78.95,20,1,0.05,0,0,0
23,6240,38.125,23000,1,0,0,0,61.9,35,3,0.1,0,0,0
24,6720,42.791667,26000,1,0,0,0,44.75,50,5,0.25,0,0,0
25,7200,47.791667,30000,1,0,0,0,24.5,65,10,0.5,0,0,0
26,7200,52.791667,32000,1,0,0,0,0,78.95,20,1,0.05,0,0
27,7680,58.125,35000,1,0,0,0,0,61.9,35,3,0.1,0,0
28,8160,63.791667,38000,1,0,0,0,0,44.75,50,5,0.25,0,0
29,8640,69.791667,42000,1,0,0,0,0,24.5,65,10,0.5,0,0
30,8640,75.791667,48000,1,0,0,0,0,0,78.95,20,1,0.05,0
31,9120,82.125,51000,1,0,0,0,0,0,61.9,35,3,0.1,0
32,9600,88.791667,65000,1,0,0,0,0,0,44.75,50,5,0.25,0
33,10080,95.791667,69000,1,0,0,0,0,0,24.5,65,10,0.5,0
34,10080,102.791667,78000,1,0,0,0,0,0,0,78.95,20,1,0.05
35,10080,109.791667,84000,1,0,0,0,0,0,0,61.9,35,3,0.1
36,10080,116.791667,90000,1,0,0,0,0,0,0,44.75,50,5,0.25
37,10080,123.791667,95000,1,0,0,0,0,0,0,24.5,65,10,0.5
38,10080,130.791667,110000,1,0,0,0,0,0,0,0,79,20,1
39,10080,137.791667,120000,1,0,0,0,0,0,0,0,62,35,3
40,10080,144.791667,130000,1,0,0,0,0,0,0,0,45,50,5
